id,class_id,month,student_id,hypothesis_id
3003,2919,10,36498,1
3003,2919,10,36499,1
3003,2919,10,36500,1
3003,2919,10,36501,1
3003,2919,10,36502,1
3003,2919,10,36503,1
3003,2919,10,36504,1
3003,2919,10,36505,2
3003,2919,10,36506,1
3003,2919,10,36507,1
3003,2919,10,36508,1
3003,2919,10,36509,2
3003,2919,10,36510,1
3003,2919,10,36511,1
3003,2919,10,36512,1
3003,2919,10,36513,1
3003,2919,10,36514,1
3003,2919,10,36515,1
3003,2919,10,36516,1
3003,2919,10,36517,2
3059,2919,3,36498,2
3059,2919,3,36499,6
3059,2919,3,36500,3
3059,2919,3,36501,6
3059,2919,3,36502,2
3059,2919,3,36503,2
3059,2919,3,36504,3
3059,2919,3,36505,3
3059,2919,3,36506,2
3059,2919,3,36507,3
3059,2919,3,36508,3
3059,2919,3,36509,3
3059,2919,3,36510,3
3059,2919,3,36511,3
3059,2919,3,36512,3
3059,2919,3,36513,6
3059,2919,3,36514,3
3059,2919,3,36515,3
3059,2919,3,36516,3
3059,2919,3,36517,3
3062,2977,3,36945,2
3062,2977,3,36946,6
3062,2977,3,36947,3
3062,2977,3,36948,6
3062,2977,3,36949,2
3062,2977,3,36950,2
3062,2977,3,36951,3
3062,2977,3,36952,3
3062,2977,3,36953,2
3062,2977,3,36954,3
3062,2977,3,36955,3
3062,2977,3,36956,3
3062,2977,3,36957,3
3062,2977,3,36958,3
3062,2977,3,36959,3
3062,2977,3,36960,3
3062,2977,3,36961,3
3062,2977,3,36962,3
3062,2977,3,36963,3
3063,2977,4,36945,1
3063,2977,4,36946,6
3063,2977,4,36947,3
3063,2977,4,36948,1
3063,2977,4,36949,1
3063,2977,4,36950,2
3063,2977,4,36951,3
3063,2977,4,36952,3
3063,2977,4,36953,2
3063,2977,4,36954,2
3063,2977,4,36955,3
3063,2977,4,36956,3
3063,2977,4,36957,3
3063,2977,4,36958,2
3063,2977,4,36959,6
3063,2977,4,36960,2
3063,2977,4,36961,3
3063,2977,4,36962,3
3063,2977,4,36963,3
3064,2977,6,36945,1
3064,2977,6,36946,2
3064,2977,6,36947,2
3064,2977,6,36948,1
3064,2977,6,36949,1
3064,2977,6,36950,1
3064,2977,6,36951,2
3064,2977,6,36952,3
3064,2977,6,36953,2
3064,2977,6,36954,2
3064,2977,6,36955,2
3064,2977,6,36956,3
3064,2977,6,36957,2
3064,2977,6,36958,2
3064,2977,6,36959,2
3064,2977,6,36960,2
3064,2977,6,36961,1
3064,2977,6,36962,2
3064,2977,6,36963,3
3066,2977,9,36945,1
3066,2977,9,36946,1
3066,2977,9,36947,1
3066,2977,9,36948,1
3066,2977,9,36949,1
3066,2977,9,36950,1
3066,2977,9,36951,1
3066,2977,9,36952,2
3066,2977,9,36953,1
3066,2977,9,36954,1
3066,2977,9,36955,1
3066,2977,9,36956,1
3066,2977,9,36957,1
3066,2977,9,36958,1
3066,2977,9,36959,2
3066,2977,9,36960,1
3066,2977,9,36961,1
3066,2977,9,36962,1
3066,2977,9,36963,1
